,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
95,Ang Mo Kio,2014,4,6,0.6,0.4,0.6,0.6,28.1,32.1,24.7,5.6,28.1,4/6/2014
96,Ang Mo Kio,2014,4,7,0,0,0,0,28.9,34.2,25.2,5.1,24.8,4/7/2014
97,Ang Mo Kio,2014,4,8,0.6,0.2,0.2,0.4,28,33.1,25.4,5,23.4,4/8/2014
98,Ang Mo Kio,2014,4,9,10.4,10.4,10.4,10.4,27.6,33.7,23.8,4.2,25.6,4/9/2014
99,Ang Mo Kio,2014,4,10,0,0,0,0,27.8,31.4,25.5,4.4,23.4,4/10/2014
100,Ang Mo Kio,2014,4,11,14.2,9.4,12.2,14.2,27.5,33.7,22.9,4.3,34.2,4/11/2014
101,Ang Mo Kio,2014,4,12,4,0.8,1.6,2.6,26.6,29.8,23.7,4,32.4,4/12/2014
102,Ang Mo Kio,2014,4,13,0,0,0,0,28.6,34.6,25.3,4.9,23.8,4/13/2014
103,Ang Mo Kio,2014,4,14,12,8.6,11.2,11.8,28,34.3,23.9,4.8,32.4,4/14/2014
104,Ang Mo Kio,2014,4,15,0,0,0,0,28.4,33.2,25.2,4.8,29.9,4/15/2014
105,Ang Mo Kio,2014,4,16,21.2,17.4,18.8,21.2,28.2,32.7,23,4.1,33.5,4/16/2014
106,Ang Mo Kio,2014,4,17,4.4,3.4,3.6,3.6,27.5,32.7,25.3,3.8,22.7,4/17/2014
107,Ang Mo Kio,2014,4,18,6.4,6.4,6.4,6.4,27.4,30.7,24.8,3.9,32.8,4/18/2014
108,Ang Mo Kio,2014,4,19,0,0,0,0,28.9,33.7,25.4,5,21.2,4/19/2014
109,Ang Mo Kio,2014,4,20,0,0,0,0,28,31.1,26,5.3,38.5,4/20/2014
110,Ang Mo Kio,2014,4,21,3.8,1.8,3,3.8,26.8,30,25.2,4.3,25.9,4/21/2014
111,Ang Mo Kio,2014,4,22,19,15.8,18.6,18.8,27.6,34.9,25,3.6,28.1,4/22/2014
