,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),MeanTemperature,Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Date
124,Tuas South,2014,5,5,2.4,2.4,2.4,2.4,29.1,32.6,27.3,4.1,24.8,2014-05-05
125,Tuas South,2014,5,6,1.2,1.2,1.2,1.2,29.2,31.8,26.7,4.2,25.2,2014-05-06
126,Tuas South,2014,5,7,3,2.4,3,3,28.4,32.2,25.4,6.1,22,2014-05-07
127,Tuas South,2014,5,8,0,0,0,0,27.9,30.3,25.5,5.4,20.2,2014-05-08
128,Tuas South,2014,5,9,0,0,0,0,29,31.7,27.2,4,16.6,2014-05-09
129,Tuas South,2014,5,10,0,0,0,0,29.8,33.1,27.7,5.9,31,2014-05-10
130,Tuas South,2014,5,11,0,0,0,0,28.9,32.1,26.9,5.4,20.5,2014-05-11
131,Tuas South,2014,5,12,0,0,0,0,28.5,30.6,26.7,4.5,26.3,2014-05-12
132,Tuas South,2014,5,13,0,0,0,0,29.3,32,26.3,7.4,22.7,2014-05-13
133,Tuas South,2014,5,14,12.4,7.6,9.6,10.8,28.3,30.2,24.9,9.9,35.6,2014-05-14
134,Tuas South,2014,5,15,0,0,0,0,29.5,31.5,27,7,21.2,2014-05-15
135,Tuas South,2014,5,16,66.8,33.4,50,64.8,28.3,30.2,24,5.2,44.3,2014-05-16
136,Tuas South,2014,5,17,0.8,0.4,0.6,0.8,28.9,30.6,27.1,7.6,38.9,2014-05-17
137,Tuas South,2014,5,18,4.4,1.6,2.2,2.6,27.4,29.4,24.8,6.8,25.9,2014-05-18
138,Tuas South,2014,5,19,9.8,7.8,8.8,9.2,27.7,30.1,23.3,7.1,30.2,2014-05-19
139,Tuas South,2014,5,20,8.2,4.6,4.6,5.2,28,32.4,23.7,5,24.8,2014-05-20
140,Tuas South,2014,5,21,0.6,0.6,0.6,0.6,28.4,30.9,25.7,5.3,19.1,2014-05-21
141,Tuas South,2014,5,22,0,0,0,0,29.1,32.4,26.7,6.4,27.7,2014-05-22
142,Tuas South,2014,5,23,29.6,17.4,25.6,28,27.4,29.8,23.9,4.6,27.4,2014-05-23
143,Tuas South,2014,5,24,0,0,0,0,28.7,32.6,25.8,4.1,22.3,2014-05-24
144,Tuas South,2014,5,25,0.2,0.2,0.2,0.2,29.5,32.9,26.9,5,21.2,2014-05-25
145,Tuas South,2014,5,26,8.4,8.4,8.4,8.4,28.3,30.6,25.6,3.5,23.8,2014-05-26
146,Tuas South,2014,5,27,8.4,7.6,8.4,8.4,28,29.8,25.6,9,34.2,2014-05-27
147,Tuas South,2014,5,28,17,12.4,16.8,16.8,28.6,32.4,24.9,9.5,26.3,2014-05-28
148,Tuas South,2014,5,29,0,0,0,0,29.1,31.6,26.1,6,17.3,2014-05-29
149,Tuas South,2014,5,30,19,8.8,9.2,9.2,28,30.2,25.1,9.1,34.6,2014-05-30
150,Tuas South,2014,5,31,0.2,0.2,0.2,0.2,29.6,32,25.3,8.8,26.6,2014-05-31
151,Tuas South,2014,6,1,2.2,1,1.6,1.6,28.8,31.8,24.7,4.9,29.5,2014-06-01
152,Tuas South,2014,6,2,0,0,0,0,29.3,32.1,27.4,4.3,19.1,2014-06-02
153,Tuas South,2014,6,3,4.2,4.2,4.2,4.2,29.6,32.1,27.6,4.6,21.2,2014-06-03
154,Tuas South,2014,6,4,6.8,5.8,5.8,6.8,28.2,29.4,24.5,3.8,21.6,2014-06-04
155,Tuas South,2014,6,5,18,6,6,10.2,27.3,29.1,24.9,11.4,49.7,2014-06-05
156,Tuas South,2014,6,6,2.6,1,1,1.4,27.8,30.9,25.9,6.5,25.9,2014-06-06
157,Tuas South,2014,6,7,0,0,0,0,29.2,32.7,26.3,5,23.4,2014-06-07
158,Tuas South,2014,6,8,0,0,0,0,30.2,33,28.3,6.1,27,2014-06-08
159,Tuas South,2014,6,9,0,0,0,0,30.1,33.5,28.4,4.7,18.4,2014-06-09
160,Tuas South,2014,6,10,0.6,0.2,0.2,0.4,29.9,33.3,27.5,6.6,38.2,2014-06-10
161,Tuas South,2014,6,11,0,0,0,0,30.4,33.2,28.6,5.7,22,2014-06-11
162,Tuas South,2014,6,12,22,17.2,17.8,18.8,29.2,32.9,24,8.3,88.6,2014-06-12
163,Tuas South,2014,6,13,0,0,0,0,30.2,32.9,28.1,7.2,23,2014-06-13
164,Tuas South,2014,6,14,25.2,20.2,23.2,24,27.9,30.2,23.7,5.4,42.8,2014-06-14
165,Tuas South,2014,6,15,0,0,0,0,29.8,31.9,27.9,8.1,21.6,2014-06-15
166,Tuas South,2014,6,16,0,0,0,0,30.3,32.7,28.7,8,23.4,2014-06-16
167,Tuas South,2014,6,17,0,0,0,0,30.6,33.2,28.7,5.7,24.5,2014-06-17
168,Tuas South,2014,6,18,23.4,13,18.6,22.6,28.8,32,23.7,8.4,52.2,2014-06-18
169,Tuas South,2014,6,19,2.4,1.6,1.8,2.2,29.7,32.5,25.9,7.6,46.8,2014-06-19
170,Tuas South,2014,6,20,0,0,0,0,30.4,33.3,28.6,6.4,23.8,2014-06-20
171,Tuas South,2014,6,21,0,0,0,0,30.7,33.2,28.6,5.8,23.8,2014-06-21
172,Tuas South,2014,6,22,0,0,0,0,30.3,32.4,28.8,8.4,25.9,2014-06-22
173,Tuas South,2014,6,23,0,0,0,0,30,32.6,28.3,6.3,18.4,2014-06-23
174,Tuas South,2014,6,24,1.4,1.2,1.2,1.2,30,32.3,27.9,6.5,26.6,2014-06-24
175,Tuas South,2014,6,25,25.2,21,23.6,25,28.6,30.9,24.1,7.1,34.9,2014-06-25
176,Tuas South,2014,6,26,1.8,1.8,1.8,1.8,29.6,32.7,28.1,6.6,24.8,2014-06-26
177,Tuas South,2014,6,27,11.4,9.2,9.4,9.4,27.5,29.6,24.4,10.4,53.3,2014-06-27
178,Tuas South,2014,6,28,0,0,0,0,28.9,31,27.2,6.9,21.2,2014-06-28
179,Tuas South,2014,6,29,7.6,7.4,7.6,7.6,28.8,30.7,25.8,4.7,25.2,2014-06-29
180,Tuas South,2014,6,30,31,24.4,29.8,30.8,27.5,29.4,23.6,8.2,38.9,2014-06-30
181,Tuas South,2014,7,1,0,0,0,0,29,31.9,27,5.1,23.8,2014-07-01
182,Tuas South,2014,7,2,0,0,0,0,29.1,31.5,26.6,5.5,27,2014-07-02
183,Tuas South,2014,7,3,0.6,0.6,0.6,0.6,28.7,31.4,25.6,5.2,29.2,2014-07-03
184,Tuas South,2014,7,4,0,0,0,0,29.4,31.5,28.1,6.8,21.6,2014-07-04
185,Tuas South,2014,7,5,35,20.4,31.8,34.8,27.8,29.6,23.7,6.8,69.1,2014-07-05
186,Tuas South,2014,7,6,0,0,0,0,29,31,27.6,6.9,31.7,2014-07-06
187,Tuas South,2014,7,7,21.6,16.2,19,19.2,28.5,31.4,24,6.6,52.2,2014-07-07
188,Tuas South,2014,7,8,11.2,8.8,10.2,10.6,28.3,30.4,23.8,7.5,45,2014-07-08
189,Tuas South,2014,7,9,1.2,0.4,0.6,0.8,28.3,30.4,25.5,8.1,43.9,2014-07-09
190,Tuas South,2014,7,10,0.4,0.2,0.4,0.4,29.4,32.6,27.5,4.4,23,2014-07-10
191,Tuas South,2014,7,11,0,0,0,0,28.7,31.7,26,6,23,2014-07-11
192,Tuas South,2014,7,12,4.2,3.8,4,4,27.8,29.5,24.6,9.3,43.2,2014-07-12
193,Tuas South,2014,7,13,0,0,0,0,29.2,32.2,26.6,9.1,22.7,2014-07-13
